Alabama	AL	
Kentucky	KY	
Ohio	OH
Alaska	AK	
Louisiana	LA	
Oklahoma	OK
Arizona	AZ	
Maine	ME	
Oregon	OR
Arkansas	AR	
Maryland	MD	
Pennsylvania	PA
American_Samoa	AS	
Massachusetts	MA	
Puerto_Rico	PR
California	CA	
Michigan	MI	
Rhode_Island	RI
Colorado	CO	
Minnesota	MN	
South_Carolina	SC
Connecticut	CT	
Mississippi	MS	
South_Dakota	SD
Delaware	DE	
Missouri	MO	
Tennessee	TN
District_of_Columbia	DC	
Montana	MT	
Texas	TX
Florida	FL	
Nebraska	NE	
Trust_Territories	TT
Georgia	GA	
Nevada	NV	
Utah	UT
Guam	GU	
New_Hampshire NH
Vermont	VT
Hawaii	HI	
New_Jersey	NJ	
Virginia	VA
Idaho	ID	
New_Mexico	NM	
Virgin_Islands	VI
Illinois	IL	
New_York	NY	
Washington	WA
Indiana	IN	
North_Carolina	NC	
West_Virginia	WV
Iowa	IA	
North_Dakota	ND	
Wisconsin	WI
Kansas	KS	
Northern_Mariana_Islands	CM	
Wyoming	WY
